id;lat;lon;title;link;description_short;image
1;51.0477577;3.7273401;Vooruit – Turkse cinema;http://www.blijvenplakkeningent.be/nl/blikvangers/vooruit-turkse-cinema;In 1976 begonnen de Turkse gebroeders Alcı, die ook het eerste Turkse restaurant in Gent...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/35_vooruit.jpg?itok=P0_K3Vt0
2;51.0570384;3.7213962;Veneziana – IJs en jazz;http://www.blijvenplakkeningent.be/nl/blikvangers/veneziana-ijs-en-jazz;De Italiaanse broers Virgilio en Bortolo Zangrando kwamen in 1923 naar Gent. Ze vestigden...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/willy_dee_02.jpg?itok=oLzv33VN
3;51.0724261;3.7125903;UCO Braun – Laatste bastion van de Gentse textiel;http://www.blijvenplakkeningent.be/nl/blikvangers/uco-braun-laatste-bastion-van-de-gentse-textiel;UCO Braun was de jongste van de Gentse UCO-fabrieken. Pas in 1950 opende ze de deuren. De...;
4;51.0628438;3.6978693;Taieb – De Marokkaanse buurtslager;http://www.blijvenplakkeningent.be/nl/blikvangers/taieb-de-marokkaanse-buurtslager;Waar nu de tajines in het uitstalraam staan, was tot voor kort slagerij Taieb gevestigd...;
5;51.0564942;3.7283607;St John – Anglicaanse trouwkapel;http://www.blijvenplakkeningent.be/nl/blikvangers/st-john-anglicaanse-trouwkapel;Deze kapel werd in 1888 gewijd als Anglicaanse kerk voor de Britse migranten in Gent...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/31._st._john_-_foto.jpg?itok=nJnpA1MW
6;51.0361744;3.7108469;Station Gent-Sint-Pieters – Plaats van aankomst en vertrek;http://www.blijvenplakkeningent.be/nl/blikvangers/station-gent-sint-pieters-plaats-van-aankomst-en-vertrek;Al van bij zijn ontstaan was het station Gent-Sint-Pieters een belangrijk ijkpunt voor...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/30._station_gent-sint-pieters_-_foto_-_steven_vercruysse.jpg?itok=BSAE2aPs
7;51.0433293;3.7182392;STAM – Moederhuis op de Bijloke;http://www.blijvenplakkeningent.be/nl/blikvangers/stam-moederhuis-op-de-bijloke;Vanaf de jaren 60 kwamen heel wat Turkse en Noord-Afrikaanse vrouwen uit Gent in dit ‘...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/29._stam_-_foto.jpg?itok=9Qxw45MM
8;51.0543133;3.7382505;Spaanskasteelplein – Met de bus naar Emirdağ;http://www.blijvenplakkeningent.be/nl/blikvangers/spaanskasteelplein-met-de-bus-naar-emirdag;Tussen 1985 en 1995 vertrokken hier de rechtstreekse buslijnen tussen Gent en het Turkse...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/28._spaanskasteelplein_-_foto.jpg?itok=lp3RfTHx
9;51.0586472;3.7019191;Sint-Jan-Baptist – Van rommelmarkt tot kringloopwinkel;http://www.blijvenplakkeningent.be/nl/blikvangers/sint-jan-baptist-van-rommelmarkt-tot-kringloopwinkel;Vijftig jaar geleden startte op de Sint-Jan-Baptistparochie een kleinschalig project dat...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/27._sint-jan-baptist_-_foto.jpg?itok=OT_JJ_uM
10;51.0480783;3.7418589;Regenboogkerk – Kerkasiel en kleurrijke misvieringen;http://www.blijvenplakkeningent.be/nl/blikvangers/regenboogkerk-kerkasiel-en-kleurrijke-misvieringen;In 1992 werd Marcel De Meyer aangesteld als pastoor in de Sint-Antoniusparochie. Al snel...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/26._regenboogkerk_-_foto_-_kerkasiel1.jpg?itok=KFw9XnKa
11;51.0581592;3.7240348;Qahwa Maria – Muntthee en kaarten in Oudburg;http://www.blijvenplakkeningent.be/nl/blikvangers/qahwa-maria-muntthee-en-kaarten-in-oudburg;De Bretoense Maria Loc’h kwam in 1972 samen met haar Algerijnse echtgenoot vanuit...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/25._qahwa_maria_-_foto.jpg?itok=snFSKEM_
12;51.0582638;3.7121399;Orthodoxe kerk – Van de Russische Revolutie tot de val van de Muur;http://www.blijvenplakkeningent.be/nl/blikvangers/orthodoxe-kerk-van-de-russische-revolutie-tot-de-val-van-de-muur;In 1972 werd hier de orthodoxe parochie van Gent opgericht en een jaar later erkend door...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/24._orthodoxe_kerk_-_foto.jpg?itok=n0qs5v9v
13;51.0548276;3.7226016;Mokabon – Italiaanse koffie in de Rue du Paradis;http://www.blijvenplakkeningent.be/nl/blikvangers/mokabon-italiaanse-koffie-in-de-rue-du-paradis;In de vroege jaren 30 emigreerde Erminio Mazzaro, een jonge Italiaan uit de buurt van...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/23._mokabon_-_foto_-_sandra_mazzaro_005.jpg?itok=vlxs2LjL 
14;51.059551;3.7291825;MIAT – Vijftig jaar arbeidsmigratie;http://www.blijvenplakkeningent.be/nl/blikvangers/miat-vijftig-jaar-arbeidsmigratie;Het Museum voor Industrie, Arbeid en Textiel is gehuisvest in de gebouwen van...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/22._miat_-_foto_-_faruk_kose.jpg?itok=k0aZczGG
